"Date","Price","Open","High","Low","Vol.","Change %"
"09/09/2024","24,783.00","24,961.50","24,976.20","24,489.80","","-0.70%"
"09/06/2024","24,957.35","25,363.70","25,468.75","24,927.65","","-1.18%"
"09/05/2024","25,254.35","25,237.35","25,373.05","25,206.60","","0.62%"
"09/04/2024","25,097.85","24,852.30","25,219.45","24,786.75","","0.27%"
"09/03/2024","25,030.60","24,961.30","25,094.55","24,960.60","","0.50%"
"09/02/2024","24,906.25","25,238.85","25,264.20","24,857.90","","-0.81%"
"08/30/2024","25,108.80","24,954.10","25,152.30","24,802.65","","1.12%"
"08/29/2024","24,831.20","25,139.55","25,152.95","24,737.75","","-1.09%"
"08/28/2024","25,104.90","25,282.85","25,350.35","25,085.25","","-0.30%"
"08/27/2024","25,179.55","25,130.70","25,219.30","25,117.40","","0.39%"
"08/26/2024","25,082.10","25,274.60","25,309.55","25,069.15","","-0.25%"
"08/23/2024","25,143.85","25,236.85","25,266.00","25,102.35","","0.05%"
"08/22/2024","25,131.30","25,160.75","25,226.15","25,095.05","","0.51%"
"08/21/2024","25,002.85","24,812.45","25,018.35","24,788.00","","1.09%"
"08/20/2024","24,732.15","24,764.10","24,786.00","24,651.10","","0.53%"
"08/19/2024","24,601.05","24,457.95","24,622.20","24,425.60","","1.46%"
"08/16/2024","24,246.95","23,985.65","24,261.25","23,963.90","","2.07%"
"08/14/2024","23,754.35","23,978.95","24,004.50","23,512.70","","-0.48%"
"08/13/2024","23,869.85","24,415.90","24,439.00","23,821.70","","-1.79%"
"08/12/2024","24,305.35","24,153.80","24,395.45","23,948.80","","0.49%"
"08/09/2024","24,185.85","24,182.00","24,216.80","24,040.05","","1.08%"
"08/08/2024","23,928.45","24,002.15","24,159.75","23,868.10","","-0.02%"
"08/07/2024","23,934.30","23,662.55","23,962.20","23,423.75","","2.83%"
"08/06/2024","23,274.60","23,739.40","24,055.20","23,208.60","","-0.91%"
"08/05/2024","23,487.80","23,922.45","24,067.80","23,329.55","","-4.49%"
"08/02/2024","24,591.00","24,364.65","24,707.70","24,284.85","","-0.15%"
"08/01/2024","24,628.60","24,939.10","24,982.60","24,544.80","","-0.77%"
"07/31/2024","24,818.60","24,894.95","24,917.45","24,780.10","","0.13%"
"07/30/2024","24,787.05","24,711.55","24,836.10","24,649.70","","0.65%"
"07/29/2024","24,626.45","24,676.05","24,827.05","24,540.55","","0.77%"
"07/26/2024","24,439.35","24,323.80","24,531.95","24,317.70","","1.07%"
"07/25/2024","24,180.25","23,989.70","24,245.75","23,923.65","","0.20%"
"07/24/2024","24,131.50","23,588.55","24,152.65","23,577.75","","2.68%"
"07/23/2024","23,502.25","23,567.55","23,619.15","22,542.60","","0.20%"
"07/22/2024","23,455.15","23,107.65","23,569.00","22,875.25","","0.90%"
"07/19/2024","23,246.60","23,756.35","23,764.25","23,169.85","","-2.26%"
"07/18/2024","23,783.35","24,070.10","24,103.60","23,665.20","","-1.04%"
"07/16/2024","24,032.15","24,074.10","24,211.75","23,985.05","","0.24%"
"07/15/2024","23,975.40","24,096.95","24,127.65","23,743.20","","0.03%"
"07/12/2024","23,967.15","24,198.00","24,249.60","23,931.50","","-0.42%"
"07/11/2024","24,067.90","23,953.40","24,100.40","23,940.80","","0.91%"
"07/10/2024","23,849.75","23,564.90","23,849.75","23,541.05","","-0.83%"
"07/09/2024","24,049.90","24,128.45","24,184.70","23,908.05","","0.20%"
"07/08/2024","24,001.95","24,175.70","24,275.75","23,867.85","","-0.34%"
"07/05/2024","24,084.20","23,924.55","24,105.55","23,851.45","","0.88%"
"07/04/2024","23,873.60","23,906.20","23,947.10","23,792.70","","0.29%"
"07/03/2024","23,804.90","23,779.15","23,841.45","23,719.35","","0.76%"
"07/02/2024","23,625.80","23,734.00","23,766.65","23,454.85","","0.20%"
"07/01/2024","23,578.10","23,176.75","23,600.20","23,176.75","","2.29%"
"06/28/2024","23,049.90","23,044.25","23,115.85","22,947.45","","0.64%"
"06/27/2024","22,902.70","23,228.95","23,314.80","22,791.15","","-1.08%"
"06/26/2024","23,153.45","23,145.80","23,230.30","23,097.50","","0.54%"
"06/25/2024","23,028.65","23,156.90","23,247.15","23,002.30","","0.01%"
"06/24/2024","23,026.85","22,935.65","23,137.35","22,796.50","","0.28%"
"06/21/2024","22,963.30","23,101.30","23,169.70","22,889.50","","-0.03%"
"06/20/2024","22,969.95","22,741.15","23,020.00","22,664.90","","1.42%"
"06/19/2024","22,648.00","22,876.70","22,890.20","22,414.25","","-0.38%"
"06/18/2024","22,733.30","22,683.25","22,786.85","22,582.60","","0.93%"
"06/14/2024","22,523.40","22,440.25","22,574.40","22,312.20","","0.83%"
"06/13/2024","22,338.80","22,341.65","22,399.80","22,172.20","","0.67%"
"06/12/2024","22,189.25","22,028.35","22,226.50","22,028.35","","1.30%"
"06/11/2024","21,903.95","21,694.10","21,934.10","21,618.90","","1.63%"
"06/10/2024","21,553.00","21,436.40","21,606.50","21,424.70","","1.40%"
"06/07/2024","21,254.95","20,881.75","21,265.95","20,787.70","","2.36%"
"06/06/2024","20,765.85","20,385.30","20,848.50","20,385.30","","3.10%"
"06/05/2024","20,141.95","19,616.25","20,160.20","19,088.90","","3.22%"
"06/04/2024","19,512.95","21,004.00","21,004.00","18,762.10","","-7.18%"
"06/03/2024","21,022.65","21,483.15","21,483.15","20,956.95","","1.81%"
"05/31/2024","20,648.90","20,555.45","20,681.55","20,294.70","","0.95%"
"05/30/2024","20,455.15","20,743.20","20,777.20","20,414.15","","-1.50%"
"05/29/2024","20,767.40","20,646.60","20,820.00","20,584.10","","0.31%"
"05/28/2024","20,704.25","20,986.55","21,015.20","20,603.80","","-1.19%"
"05/27/2024","20,953.95","21,206.75","21,229.80","20,880.15","","-0.83%"
"05/24/2024","21,130.05","21,214.50","21,297.20","21,100.00","","-0.40%"
"05/23/2024","21,214.15","21,307.65","21,365.30","21,177.70","","-0.15%"
"05/22/2024","21,246.45","21,304.65","21,350.35","20,982.55","","0.22%"
"05/21/2024","21,199.60","21,304.30","21,304.30","21,067.05","","-0.14%"
"05/18/2024","21,230.00","21,230.00","21,230.00","21,230.00","","0.68%"
"05/17/2024","21,085.90","20,920.90","21,103.75","20,913.60","","1.10%"
"05/16/2024","20,857.25","20,858.75","20,907.40","20,786.40","","0.59%"
"05/15/2024","20,735.80","20,609.80","20,753.00","20,609.80","","1.18%"
"05/14/2024","20,494.15","20,171.15","20,508.00","20,166.80","","2.11%"
"05/13/2024","20,071.25","20,150.10","20,150.10","19,663.35","","-0.27%"
"05/10/2024","20,125.75","19,987.80","20,139.65","19,682.25","","1.09%"
"05/09/2024","19,908.90","20,517.75","20,545.95","19,876.70","","-2.67%"
"05/08/2024","20,455.10","20,285.05","20,556.65","20,148.80","","0.82%"
"05/07/2024","20,287.90","20,644.85","20,652.10","20,143.75","","-1.55%"
"05/06/2024","20,608.00","21,037.15","21,057.40","20,497.40","","-1.43%"
"05/03/2024","20,905.95","21,120.35","21,125.10","20,743.60","","-0.60%"
"05/02/2024","21,031.90","21,087.40","21,100.25","20,976.50","","0.31%"
"04/30/2024","20,966.80","21,051.00","21,103.95","20,955.95","","0.07%"
"04/29/2024","20,951.60","20,998.65","21,043.35","20,909.30","","0.53%"
"04/26/2024","20,841.75","20,974.55","20,984.45","20,819.70","","-0.22%"
"04/25/2024","20,888.05","20,824.30","20,911.25","20,785.80","","0.59%"
"04/24/2024","20,766.45","20,778.35","20,861.95","20,748.55","","0.68%"
"04/23/2024","20,626.50","20,566.45","20,645.35","20,519.20","","0.80%"
"04/22/2024","20,462.60","20,300.00","20,462.60","20,262.90","","2.09%"
"04/19/2024","20,044.50","19,833.25","20,116.45","19,641.15","","-0.29%"
"04/18/2024","20,101.85","20,191.90","20,328.65","20,023.35","","0.25%"
"04/16/2024","20,051.85","19,697.15","20,101.60","19,697.15","","1.03%"
"04/15/2024","19,848.05","19,742.90","19,995.85","19,425.95","","-1.79%"
"04/12/2024","20,209.90","20,313.70","20,417.35","20,157.55","","-0.80%"
"04/10/2024","20,373.25","20,435.85","20,448.50","20,244.55","","-0.03%"
"04/09/2024","20,378.35","20,460.85","20,532.35","20,242.70","","0.01%"
"04/08/2024","20,376.05","20,613.15","20,623.85","20,345.40","","-0.38%"
"04/05/2024","20,454.75","20,387.80","20,477.40","20,218.00","","0.42%"
"04/04/2024","20,368.55","20,423.75","20,471.75","20,206.25","","0.54%"
"04/03/2024","20,258.75","19,974.75","20,267.95","19,955.55","","1.55%"
"04/02/2024","19,949.75","19,700.30","19,953.20","19,669.60","","1.75%"
"04/01/2024","19,606.85","19,178.15","19,620.05","19,178.15","","3.42%"
"03/28/2024","18,958.85","19,052.90","19,131.30","18,946.95","","0.18%"
"03/27/2024","18,925.20","18,913.70","19,060.85","18,905.40","","0.65%"
"03/26/2024","18,803.80","18,981.50","19,003.25","18,779.20","","-0.76%"
"03/22/2024","18,948.50","18,753.35","18,990.80","18,731.10","","1.37%"
"03/21/2024","18,692.90","18,478.20","18,714.55","18,478.20","","2.32%"
"03/20/2024","18,268.45","18,395.75","18,470.75","18,060.00","","-0.19%"
"03/19/2024","18,303.50","18,570.80","18,648.85","18,290.85","","-1.31%"
"03/18/2024","18,546.40","18,611.35","18,733.05","18,428.30","","0.24%"
"03/15/2024","18,502.00","18,349.35","18,580.05","18,083.55","","0.92%"
"03/14/2024","18,333.30","17,460.95","18,360.50","17,359.95","","4.04%"
"03/13/2024","17,620.95","18,780.00","18,854.30","17,552.20","","-6.17%"
"03/12/2024","18,779.85","19,310.20","19,320.05","18,662.65","","-2.55%"
"03/11/2024","19,270.35","19,858.00","19,863.20","19,244.00","","-2.43%"
"03/07/2024","19,749.85","19,739.95","19,868.85","19,739.95","","0.38%"
"03/06/2024","19,676.00","20,145.90","20,147.25","19,454.55","","-2.53%"
"03/05/2024","20,187.70","20,307.05","20,320.05","20,133.95","","-0.66%"
"03/04/2024","20,320.85","20,605.85","20,609.70","20,305.90","","-0.91%"
"03/02/2024","20,506.60","20,457.70","20,530.00","20,427.75","","0.86%"
"03/01/2024","20,332.15","20,384.30","20,465.55","20,318.15","","0.20%"
"02/29/2024","20,291.80","19,963.60","20,301.10","19,733.95","","1.60%"
"02/28/2024","19,971.55","20,503.60","20,529.55","19,896.30","","-2.33%"
"02/27/2024","20,448.60","20,591.85","20,638.90","20,407.55","","-0.55%"
"02/26/2024","20,561.40","20,638.25","20,693.55","20,542.15","","0.04%"
"02/23/2024","20,553.75","20,560.05","20,626.90","20,521.35","","0.60%"
"02/22/2024","20,430.55","20,448.15","20,462.20","20,112.20","","0.40%"
"02/21/2024","20,349.50","20,706.70","20,740.00","20,319.80","","-1.32%"
"02/20/2024","20,622.00","20,708.05","20,756.60","20,601.75","","-0.12%"
"02/19/2024","20,646.95","20,535.90","20,689.10","20,532.40","","1.21%"
"02/16/2024","20,400.15","20,389.80","20,472.80","20,377.05","","0.70%"
"02/15/2024","20,257.75","20,174.80","20,341.85","20,174.80","","1.17%"
"02/14/2024","20,023.75","19,478.90","20,053.40","19,424.35","","1.67%"
"02/13/2024","19,694.85","19,678.65","19,716.90","19,111.85","","0.18%"
"02/12/2024","19,659.30","20,514.30","20,514.30","19,559.45","","-3.84%"
"02/09/2024","20,444.75","20,847.30","20,852.60","20,078.30","","-1.59%"
"02/08/2024","20,775.30","20,978.45","20,998.40","20,737.10","","-0.19%"
"02/07/2024","20,814.05","20,885.15","20,982.10","20,766.25","","0.57%"
"02/06/2024","20,696.80","20,531.20","20,717.45","20,431.85","","1.30%"
"02/05/2024","20,430.40","20,608.90","20,669.70","20,332.90","","-0.31%"
"02/02/2024","20,493.10","20,595.80","20,669.75","20,423.85","","0.39%"
"02/01/2024","20,412.70","20,614.55","20,623.80","20,271.95","","-0.36%"
"01/31/2024","20,486.25","20,226.70","20,527.25","20,226.55","","1.66%"
"01/30/2024","20,150.75","20,243.65","20,282.35","20,118.55","","0.33%"
"01/29/2024","20,085.30","20,041.10","20,137.15","20,038.75","","1.17%"
"01/25/2024","19,852.85","19,722.30","19,919.75","19,722.30","","1.15%"
"01/24/2024","19,626.75","19,297.05","19,630.75","19,087.70","","1.65%"
"01/23/2024","19,308.90","20,004.10","20,033.90","19,190.50","","-2.75%"
"01/20/2024","19,854.65","19,808.50","19,952.55","19,716.25","","0.80%"
"01/19/2024","19,696.85","19,649.65","19,735.25","19,647.65","","0.88%"
"01/18/2024","19,525.90","19,448.95","19,571.30","18,940.40","","0.25%"
"01/17/2024","19,478.10","19,463.30","19,654.60","19,366.40","","-0.86%"
"01/16/2024","19,647.25","19,788.60","19,857.90","19,408.80","","-0.38%"
"01/15/2024","19,722.70","19,818.90","19,849.85","19,593.10","","0.07%"
"01/12/2024","19,709.10","19,779.30","19,787.45","19,684.20","","0.22%"
"01/11/2024","19,665.40","19,618.60","19,690.75","19,589.25","","0.93%"
"01/10/2024","19,484.95","19,438.25","19,500.00","19,291.55","","0.48%"
"01/09/2024","19,392.45","19,510.15","19,576.45","19,372.60","","0.09%"
"01/08/2024","19,375.70","19,517.45","19,544.75","19,326.30","","-0.11%"
"01/05/2024","19,396.15","19,446.00","19,532.50","19,232.00","","0.38%"
"01/04/2024","19,321.85","19,169.55","19,341.65","19,162.45","","1.32%"
"01/03/2024","19,070.40","18,996.05","19,104.35","18,958.00","","0.67%"
"01/02/2024","18,944.20","18,954.90","19,014.65","18,652.60","","0.31%"
"01/01/2024","18,885.40","18,764.70","18,931.30","18,764.70","","1.23%"
"12/29/2023","18,656.75","18,565.90","18,677.30","18,499.60","","0.75%"
"12/28/2023","18,517.40","18,663.10","18,683.70","18,502.65","","-0.37%"
"12/27/2023","18,585.65","18,681.40","18,722.80","18,510.10","","0.06%"
"12/26/2023","18,574.70","18,531.85","18,586.30","18,469.85","","0.77%"
"12/22/2023","18,432.80","18,412.25","18,508.00","18,267.50","","0.84%"
"12/21/2023","18,279.85","17,746.70","18,317.65","17,630.15","","2.13%"
"12/20/2023","17,898.80","18,793.05","18,832.30","17,849.10","","-4.20%"
"12/19/2023","18,683.90","18,699.15","18,743.45","18,565.95","","0.37%"
"12/18/2023","18,614.15","18,583.95","18,643.55","18,480.25","","0.50%"
"12/15/2023","18,522.40","18,583.85","18,626.05","18,505.40","","0.23%"
"12/14/2023","18,480.40","18,582.70","18,606.00","18,469.65","","0.30%"
"12/13/2023","18,425.40","18,246.40","18,451.75","18,199.00","","1.42%"
"12/12/2023","18,168.15","18,333.10","18,366.90","18,112.05","","-0.44%"
"12/11/2023","18,248.95","18,144.65","18,252.20","18,144.65","","1.16%"
"12/08/2023","18,039.20","18,139.20","18,247.70","17,936.00","","-0.22%"
"12/07/2023","18,078.80","18,132.50","18,174.20","18,015.10","","-0.06%"
"12/06/2023","18,090.00","18,205.10","18,208.90","18,032.70","","0.02%"
"12/05/2023","18,086.35","18,195.80","18,219.75","17,937.05","","-0.07%"
"12/04/2023","18,099.35","18,190.65","18,213.00","18,058.30","","1.19%"
"12/01/2023","17,886.70","17,993.35","18,048.05","17,869.15","","-0.01%"
"11/30/2023","17,888.25","17,740.15","17,914.30","17,575.35","","1.15%"
"11/29/2023","17,684.00","17,762.15","17,782.65","17,669.35","","0.11%"
"11/28/2023","17,664.70","17,730.90","17,770.15","17,654.85","","0.19%"
"11/24/2023","17,631.70","17,673.05","17,729.70","17,620.05","","0.16%"
"11/23/2023","17,603.45","17,625.60","17,696.95","17,592.65","","0.24%"
"11/22/2023","17,562.10","17,699.25","17,707.40","17,457.45","","-0.42%"
"11/21/2023","17,636.50","17,717.75","17,761.65","17,624.90","","0.10%"
"11/20/2023","17,619.15","17,583.70","17,663.90","17,571.70","","0.71%"
"11/17/2023","17,495.60","17,433.85","17,554.05","17,431.15","","0.47%"
"11/16/2023","17,413.70","17,438.35","17,489.15","17,397.30","","0.25%"
"11/15/2023","17,370.25","17,344.10","17,392.90","17,316.00","","1.29%"
"11/13/2023","17,148.60","17,071.95","17,167.40","16,966.25","","0.45%"
"11/12/2023","17,072.60","17,054.55","17,092.15","17,054.55","","1.29%"
"11/10/2023","16,855.95","16,785.10","16,888.50","16,768.40","","0.46%"
"11/09/2023","16,778.70","16,844.60","16,881.05","16,760.70","","-0.06%"
"11/08/2023","16,788.25","16,836.50","16,859.10","16,760.10","","0.27%"
"11/07/2023","16,742.25","16,709.45","16,766.25","16,668.00","","0.56%"
"11/06/2023","16,648.50","16,592.40","16,729.80","16,592.40","","1.17%"
"11/03/2023","16,455.20","16,398.95","16,467.45","16,355.10","","0.99%"
"11/02/2023","16,294.25","16,308.50","16,352.25","16,243.75","","0.85%"
"11/01/2023","16,157.00","16,215.80","16,261.15","16,140.25","","-0.11%"
"10/31/2023","16,175.15","16,230.05","16,297.35","16,153.40","","0.26%"
"10/30/2023","16,133.70","16,132.45","16,158.50","15,963.15","","0.28%"
"10/27/2023","16,089.10","15,861.20","16,122.00","15,861.20","","2.23%"
"10/26/2023","15,738.70","15,611.70","15,751.40","15,203.85","","0.26%"
"10/25/2023","15,697.65","15,960.35","16,096.70","15,443.70","","-0.83%"
"10/23/2023","15,828.85","16,736.10","16,774.45","15,795.05","","-5.18%"
"10/20/2023","16,694.30","16,840.35","16,916.80","16,666.65","","-0.72%"
"10/19/2023","16,816.05","16,749.95","16,836.50","16,702.80","","0.04%"
"10/18/2023","16,809.15","16,892.70","16,919.15","16,695.20","","0.00%"
