"Date","Price","Open","High","Low","Vol.","Change %"
"04-10-2024","21,710.60","21,878.65","21,983.05","21,496.20","","-0.89%"
"03-10-2024","21,904.70","22,069.45","22,277.25","21,847.40","","-2.12%"
"01-10-2024","22,379.75","22,339.75","22,400.30","22,221.15","","0.30%"
"30-09-2024","22,311.95","22,302.65","22,363.10","22,175.80","","-0.22%"
"27-09-2024","22,360.85","22,410.55","22,434.55","22,323.85","","-0.03%"
"26-09-2024","22,367.85","22,412.35","22,416.30","22,192.75","","0.05%"
"25-09-2024","22,357.40","22,509.85","22,515.40","22,294.15","","-0.61%"
"24-09-2024","22,493.50","22,481.75","22,508.75","22,431.10","","0.31%"
"23-09-2024","22,423.70","22,369.15","22,442.55","22,261.25","","0.75%"
"20-09-2024","22,256.10","22,064.40","22,326.35","21,971.80","","1.32%"
"19-09-2024","21,965.15","22,190.75","22,245.85","21,621.60","","-0.52%"
"18-09-2024","22,079.90","22,261.30","22,283.45","21,971.55","","-0.70%"
"17-09-2024","22,235.35","22,311.50","22,320.60","22,174.20","","-0.13%"
"16-09-2024","22,264.70","22,306.05","22,314.85","22,188.15","","0.34%"
"13-09-2024","22,190.35","22,127.00","22,243.55","22,093.50","","0.65%"
"12-09-2024","22,047.70","21,963.50","22,061.95","21,893.50","","1.14%"
"11-09-2024","21,798.95","21,921.65","21,991.60","21,760.95","","-0.25%"
"10-09-2024","21,853.55","21,766.45","21,902.15","21,757.05","","1.07%"
"09-09-2024","21,621.40","21,665.50","21,672.70","21,415.95","","-0.25%"
"06-09-2024","21,675.80","22,003.95","22,030.85","21,639.40","","-1.37%"
"05-09-2024","21,976.90","22,002.95","22,030.85","21,943.55","","0.37%"
"04-09-2024","21,895.35","21,763.10","21,913.10","21,721.35","","-0.08%"
"03-09-2024","21,913.80","21,912.25","21,983.20","21,892.90","","0.23%"
"02-09-2024","21,862.85","22,014.15","22,015.15","21,800.45","","-0.29%"
"30-08-2024","21,925.45","21,832.60","21,956.35","21,773.15","","0.85%"
"29-08-2024","21,741.35","21,865.45","21,880.50","21,618.05","","-0.45%"
"28-08-2024","21,838.70","21,934.45","21,943.40","21,760.85","","-0.14%"
"27-08-2024","21,869.75","21,811.75","21,884.05","21,788.25","","0.51%"
"26-08-2024","21,758.45","21,746.75","21,778.50","21,678.00","","0.52%"
"23-08-2024","21,645.65","21,801.65","21,809.10","21,633.00","","-0.53%"
"22-08-2024","21,760.35","21,719.70","21,792.50","21,687.00","","0.66%"
"21-08-2024","21,617.70","21,547.10","21,634.70","21,500.40","","0.41%"
"20-08-2024","21,529.05","21,452.40","21,540.95","21,386.65","","0.83%"
"19-08-2024","21,351.40","21,413.35","21,455.60","21,302.50","","0.25%"
"16-08-2024","21,298.35","21,061.25","21,310.80","21,027.35","","1.82%"
"14-08-2024","20,917.75","21,116.80","21,135.35","20,842.20","","-0.60%"
"13-08-2024","21,044.95","21,298.90","21,318.35","21,010.55","","-0.77%"
"12-08-2024","21,208.70","21,089.75","21,247.45","20,976.10","","0.27%"
"09-08-2024","21,151.35","21,173.75","21,233.65","21,100.05","","0.76%"
"08-08-2024","20,991.00","21,114.00","21,176.20","20,964.65","","-0.35%"
"07-08-2024","21,063.70","20,969.25","21,085.25","20,786.90","","2.20%"
"06-08-2024","20,611.15","20,888.25","21,138.85","20,555.95","","-0.60%"
"05-08-2024","20,734.85","20,917.25","21,056.15","20,594.75","","-3.52%"
"02-08-2024","21,492.25","21,499.20","21,617.45","21,387.25","","-0.99%"
"01-08-2024","21,706.45","21,960.80","21,969.40","21,598.30","","-0.71%"
"31-07-2024","21,860.95","21,852.70","21,913.10","21,777.80","","0.51%"
"30-07-2024","21,749.50","21,685.35","21,803.05","21,655.65","","0.48%"
"29-07-2024","21,644.85","21,606.50","21,671.75","21,547.45","","0.94%"
"26-07-2024","21,442.40","21,168.95","21,463.05","21,165.05","","1.72%"
"25-07-2024","21,080.45","20,982.70","21,132.25","20,937.75","","-0.25%"
"24-07-2024","21,133.35","20,962.45","21,163.80","20,930.95","","0.89%"
"23-07-2024","20,947.80","21,151.65","21,165.85","20,264.90","","-0.44%"
"22-07-2024","21,040.35","20,740.80","21,074.10","20,589.95","","1.10%"
