Company Name,Ticker,NSE Symbol
Sundram Fasteners Ltd.,SUNDRMFAST.NS,NSE:SUNDRMFAST
Supreme Industries Ltd.,SUPREMEIND.NS,NSE:SUPREMEIND
Suzlon Energy Ltd.,SUZLON.NS,NSE:SUZLON
Syngene International Ltd.,SYNGENE.NS,NSE:SYNGENE
Tata Chemicals Ltd.,TATACHEM.NS,NSE:TATACHEM
Tata Communications Ltd.,TATACOMM.NS,NSE:TATACOMM
Tata Elxsi Ltd.,TATAELXSI.NS,NSE:TATAELXSI
Tata Investment Corporation Ltd.,TATAINVEST.NS,NSE:TATAINVEST
Tata Technologies Ltd.,TATATECH.NS,NSE:TATATECH
The New India Assurance Company Ltd.,NIACL.NS,NSE:NIACL
Thermax Ltd.,THERMAX.NS,NSE:THERMAX
Timken India Ltd.,TIMKEN.NS,NSE:TIMKEN
Torrent Power Ltd.,TORNTPOWER.NS,NSE:TORNTPOWER
Tube Investments of India Ltd.,TIINDIA.NS,NSE:TIINDIA
UNO Minda Ltd.,UNOMINDA.NS,NSE:UNOMINDA
UPL Ltd.,UPL.NS,NSE:UPL
United Breweries Ltd.,UBL.NS,NSE:UBL
Vodafone Idea Ltd.,IDEA.NS,NSE:IDEA
Voltas Ltd.,VOLTAS.NS,NSE:VOLTAS
Yes Bank Ltd.,YESBANK.NS,NSE:YESBANK
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA.NS,NSE:ZFCVINDIA
