Company Name,Ticker,NSE Symbol,Market Cap
APL Apollo Tubes Ltd.,APLAPOLLO.NS,NSE:APLAPOLLO,Mid Cap
AU Small Finance Bank Ltd.,AUBANK.NS,NSE:AUBANK,Mid Cap
Abbott India Ltd.,ABBOTINDIA.NS,NSE:ABBOTINDIA,Mid Cap
Adani Wilmar Ltd.,AWL.NS,NSE:AWL,Mid Cap
Aditya Birla Capital Ltd.,ABCAPITAL.NS,NSE:ABCAPITAL,Mid Cap
Aditya Birla Fashion and Retail Ltd.,ABFRL.NS,NSE:ABFRL,Mid Cap
Ajanta Pharmaceuticals Ltd.,AJANTPHARM.NS,NSE:AJANTPHARM,Mid Cap
Alkem Laboratories Ltd.,ALKEM.NS,NSE:ALKEM,Mid Cap
Apollo Tyres Ltd.,APOLLOTYRE.NS,NSE:APOLLOTYRE,Mid Cap
Ashok Leyland Ltd.,ASHOKLEY.NS,NSE:ASHOKLEY,Mid Cap
Astral Ltd.,ASTRAL.NS,NSE:ASTRAL,Mid Cap
Aurobindo Pharma Ltd.,AUROPHARMA.NS,NSE:AUROPHARMA,Mid Cap
BSE Ltd.,BSE.NS,NSE:BSE,Mid Cap
Balkrishna Industries Ltd.,BALKRISIND.NS,NSE:BALKRISIND,Mid Cap
Bandhan Bank Ltd.,BANDHANBNK.NS,NSE:BANDHANBNK,Mid Cap
Bank of India,BANKINDIA.NS,NSE:BANKINDIA,Mid Cap
Bank of Maharashtra,MAHABANK.NS,NSE:MAHABANK,Mid Cap
Bayer Cropscience Ltd.,BAYERCROP.NS,NSE:BAYERCROP,Mid Cap
Berger Paints India Ltd.,BERGEPAINT.NS,NSE:BERGEPAINT,Mid Cap
Bharat Dynamics Ltd.,BDL.NS,NSE:BDL,Mid Cap
Bharat Forge Ltd.,BHARATFORG.NS,NSE:BHARATFORG,Mid Cap
Bharti Hexacom Ltd.,BHARTIHEXA.NS,NSE:BHARTIHEXA,Mid Cap
Biocon Ltd.,BIOCON.NS,NSE:BIOCON,Mid Cap
CG Power and Industrial Solutions Ltd.,CGPOWER.NS,NSE:CGPOWER,Mid Cap
CRISIL Ltd.,CRISIL.NS,NSE:CRISIL,Mid Cap
Carborundum Universal Ltd.,CARBORUNIV.NS,NSE:CARBORUNIV,Mid Cap
Cochin Shipyard Ltd.,COCHINSHIP.NS,NSE:COCHINSHIP,Mid Cap
Coforge Ltd.,COFORGE.NS,NSE:COFORGE,Mid Cap
Colgate Palmolive (India) Ltd.,COLPAL.NS,NSE:COLPAL,Mid Cap
Container Corporation of India Ltd.,CONCOR.NS,NSE:CONCOR,Mid Cap
